214328887 34428380
17116707 28465635
380580781 18996905
221036078 153460275
107830991 17868918
151338729 222261763
19705747 34428380
222261763 88323281
19933035 149538028
158419434 17434613
149538028 153226312
364971269 153226312
100581193 279787626
113058991 69592091
151338729 187773078
406628822 262802533
460282402 88323281
280935165 437804658
222261763 27633075
285312927 151338729
279787626 131613362
158419434 17675120
394263193 100581193
254839786 88323281
204317520 21548772
67864340 172883064
270449528 297801196
153226312 187773078
67864340 8088112
153226312 17116707
